"Gene"	"Gene synonym"	"Ensembl"	"Gene description"	"Uniprot"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA cell line specificity"	"RNA cell line distribution"
"ABCA7"	"ABCX"	"ENSG00000064687"	"ATP binding cassette subfamily A member 7"	"Q8IZY2"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABCA8"	"KIAA0822"	"ENSG00000141338"	"ATP binding cassette subfamily A member 8"	"O94911"	"Low tissue specificity"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"ABCB11"	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	"ENSG00000073734"	"ATP binding cassette subfamily B member 11"	"O95342"	"Tissue enriched"	"Detected in some"	27	"Cell line enhanced"	"Detected in some"
"ABCB6"	"EST45597, MTABC3, umat"	"ENSG00000115657"	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	"Q9NP58"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABCC1"	"GS-X, MRP, MRP1"	"ENSG00000103222"	"ATP binding cassette subfamily C member 1"	"P33527"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABCC11"	"MRP8"	"ENSG00000121270"	"ATP binding cassette subfamily C member 11"	"Q96J66"	"Tissue enriched"	"Detected in some"	4	"Cell line enriched"	"Detected in some"
"ABCC2"	"CMOAT, cMRP, DJS, MRP2"	"ENSG00000023839"	"ATP binding cassette subfamily C member 2"	"Q92887"	"Tissue enhanced"	"Detected in some"	NA	"Group enriched"	"Detected in some"
"ABCC3"	"cMOAT2, EST90757, MLP2, MOAT-D, MRP3"	"ENSG00000108846"	"ATP binding cassette subfamily C member 3"	"O15438"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ABCC6"	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	"ENSG00000091262"	"ATP binding cassette subfamily C member 6"	"O95255"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
"ABCC8"	"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"	"ENSG00000006071"	"ATP binding cassette subfamily C member 8"	"Q09428"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"ABCD3"	"PMP70, PXMP1, ZWS2"	"ENSG00000117528"	"ATP binding cassette subfamily D member 3"	"P28288"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ABCE1"	"OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I"	"ENSG00000164163"	"ATP binding cassette subfamily E member 1"	"P61221"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ABCG1"	"ABC8"	"ENSG00000160179"	"ATP binding cassette subfamily G member 1"	"P45844"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABCG4"	"WHITE2"	"ENSG00000172350"	"ATP binding cassette subfamily G member 4"	"Q9H172"	"Group enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in some"
"ABHD12B"	"BEM46L3, C14orf29"	"ENSG00000131969"	"Abhydrolase domain containing 12B"	"Q7Z5M8"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"ABHD16B"	"C20orf135, dJ591C20.1"	"ENSG00000183260"	"Abhydrolase domain containing 16B"	"Q9H3Z7"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ABHD5"	"CGI-58, NCIE2"	"ENSG00000011198"	"Abhydrolase domain containing 5"	"Q8WTS1"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ABI1"	"ABI-1, E3B1, SSH3BP1"	"ENSG00000136754"	"Abl interactor 1"	"Q8IZP0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ABI2"	"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2"	"ENSG00000138443"	"Abl interactor 2"	"Q9NYB9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"ABL1"	"ABL, c-ABL, JTK7, p150"	"ENSG00000097007"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"P00519"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ABL2"	"ABLL, ARG"	"ENSG00000143322"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"P42684"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABLIM3"	"KIAA0843"	"ENSG00000173210"	"Actin binding LIM protein family member 3"	"O94929"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ABR"	"MDB"	"ENSG00000159842"	"Active BCR-related"	"Q12979"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in some"
"ABRA"	"STARS"	"ENSG00000174429"	"Actin binding Rho activating protein"	"Q8N0Z2"	"Group enriched"	"Detected in some"	17	"Cell line enhanced"	"Detected in some"
"ABTB2"	"ABTB2A, BTBD22, DKFZP586C1619"	"ENSG00000166016"	"Ankyrin repeat and BTB domain containing 2"	"Q8N961"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ACADVL"	"ACAD6, LCACD, VLCAD"	"ENSG00000072778"	"Acyl-CoA dehydrogenase very long chain"	"P49748"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"ACAN"	"AGC1, CSPG1, CSPGCP, MSK16"	"ENSG00000157766"	"Aggrecan"	NA	"Low tissue specificity"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
"ACBD3"	"GCP60, GOCAP1, GOLPH1, PAP7"	"ENSG00000182827"	"Acyl-CoA binding domain containing 3"	"Q9H3P7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ACCSL"	NA	"ENSG00000205126"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"	"Q4AC99"	"Tissue enhanced"	"Detected in some"	NA	"Group enriched"	"Detected in some"
"ACE"	"ACE1, CD143, DCP1"	"ENSG00000159640"	"Angiotensin I converting enzyme"	"P12821"	"Tissue enriched"	"Detected in many"	5	"Group enriched"	"Detected in some"
"ACER1"	"ASAH3"	"ENSG00000167769"	"Alkaline ceramidase 1"	"Q8TDN7"	"Group enriched"	"Detected in some"	6	"Group enriched"	"Detected in some"
"ACER3"	"APHC, FLJ11238, PHCA"	"ENSG00000078124"	"Alkaline ceramidase 3"	"Q9NUN7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"ACHE"	"YT"	"ENSG00000087085"	"Acetylcholinesterase (Cartwright blood group)"	"P22303"	"Group enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in some"
"ACO2"	"ACONM"	"ENSG00000100412"	"Aconitase 2"	"Q99798"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ACOX3"	NA	"ENSG00000087008"	"Acyl-CoA oxidase 3, pristanoyl"	"O15254"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ACSF2"	"ACSMW, FLJ20920"	"ENSG00000167107"	"Acyl-CoA synthetase family member 2"	"Q96CM8"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ACSF3"	NA	"ENSG00000176715"	"Acyl-CoA synthetase family member 3"	"Q4G176"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"ACSL1"	"ACS1, FACL1, FACL2, LACS, LACS1, LACS2"	"ENSG00000151726"	"Acyl-CoA synthetase long chain family member 1"	"P33121"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ACSL3"	"ACS3, FACL3, PRO2194"	"ENSG00000123983"	"Acyl-CoA synthetase long chain family member 3"	"O95573"	"Tissue enriched"	"Detected in all"	4	"Cell line enhanced"	"Detected in all"
"ACSL6"	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	"ENSG00000164398"	"Acyl-CoA synthetase long chain family member 6"	"Q9UKU0"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"ACSM4"	NA	"ENSG00000215009"	"Acyl-CoA synthetase medium chain family member 4"	"P0C7M7"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"ACSM5"	"FLJ20581"	"ENSG00000183549"	"Acyl-CoA synthetase medium chain family member 5"	"Q6NUN0"	"Tissue enriched"	"Detected in many"	9	"Group enriched"	"Detected in some"
"ACTB"	NA	"ENSG00000075624"	"Actin beta"	"P60709"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ACTG1"	"ACTG, DFNA20, DFNA26"	"ENSG00000184009"	"Actin gamma 1"	"P63261"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ACTL7A"	NA	"ENSG00000187003"	"Actin like 7A"	"Q9Y615"	"Tissue enriched"	"Detected in single"	145	"Cell line enhanced"	"Detected in some"
"ACTL7B"	"Tact1"	"ENSG00000148156"	"Actin like 7B"	"Q9Y614"	"Tissue enriched"	"Detected in single"	437	"Cell line enhanced"	"Detected in single"
"ACTN1"	NA	"ENSG00000072110"	"Actinin alpha 1"	"P12814"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"ACTRT3"	"ARPM1"	"ENSG00000184378"	"Actin related protein T3"	"Q9BYD9"	"Tissue enriched"	"Detected in many"	17	"Cell line enhanced"	"Detected in many"
"ACY3"	"ACY-3, HCBP1, MGC9740"	"ENSG00000132744"	"Aminoacylase 3"	"Q96HD9"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"ADAD2"	"FLJ00337, TENRL"	"ENSG00000140955"	"Adenosine deaminase domain containing 2"	"Q8NCV1"	"Tissue enriched"	"Detected in some"	36	"Cell line enriched"	"Detected in some"
"ADAM10"	"CD156c, HsT18717, kuz, MADM"	"ENSG00000137845"	"ADAM metallopeptidase domain 10"	"O14672"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"ADAM18"	"ADAM27, tMDCIII"	"ENSG00000168619"	"ADAM metallopeptidase domain 18"	"Q9Y3Q7"	"Tissue enriched"	"Detected in single"	98	"Cell line enhanced"	"Detected in single"
"ADAM23"	"MDC3"	"ENSG00000114948"	"ADAM metallopeptidase domain 23"	"O75077"	"Group enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in many"
"ADAM32"	NA	"ENSG00000197140"	"ADAM metallopeptidase domain 32"	"Q8TC27"	"Tissue enriched"	"Detected in some"	18	"Cell line enhanced"	"Detected in some"
"ADAM33"	"C20orf153, dJ964F7.1, DKFZp434K0521"	"ENSG00000149451"	"ADAM metallopeptidase domain 33"	"Q9BZ11"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAM7"	"EAPI, GP-83"	"ENSG00000069206"	"ADAM metallopeptidase domain 7"	"Q9H2U9"	"Tissue enriched"	"Detected in some"	14	"Group enriched"	"Detected in some"
"ADAMTS15"	NA	"ENSG00000166106"	"ADAM metallopeptidase with thrombospondin type 1 motif 15"	"Q8TE58"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAMTS16"	"ADAMTS16s"	"ENSG00000145536"	"ADAM metallopeptidase with thrombospondin type 1 motif 16"	"Q8TE57"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAMTS17"	"FLJ16363, FLJ32769"	"ENSG00000140470"	"ADAM metallopeptidase with thrombospondin type 1 motif 17"	"Q8TE56"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAMTS2"	"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP"	"ENSG00000087116"	"ADAM metallopeptidase with thrombospondin type 1 motif 2"	"O95450"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAMTSL1"	"ADAMTSR1, C9orf94, FLJ35283"	"ENSG00000178031"	"ADAMTS like 1"	"Q8N6G6"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAMTSL2"	"KIAA0605"	"ENSG00000197859"	"ADAMTS like 2"	"Q86TH1"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAMTSL4"	"DKFZP434K1772, TSRC1"	"ENSG00000143382"	"ADAMTS like 4"	"Q6UY14"	"Tissue enriched"	"Detected in many"	7	"Cell line enhanced"	"Detected in many"
"ADAMTSL5"	"THSD6"	"ENSG00000185761"	"ADAMTS like 5"	NA	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ADAP1"	"CENTA1, GCS1L"	"ENSG00000105963"	"ArfGAP with dual PH domains 1"	"O75689"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ADARB1"	"ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1"	"ENSG00000197381"	"Adenosine deaminase, RNA specific B1"	"P78563"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ADARB2"	"ADAR3, hRED2, RED2"	"ENSG00000185736"	"Adenosine deaminase, RNA specific B2 (inactive)"	"Q9NS39"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADAT1"	NA	"ENSG00000065457"	"Adenosine deaminase, tRNA specific 1"	"Q9BUB4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ADCY4"	"AC4"	"ENSG00000129467"	"Adenylate cyclase 4"	"Q8NFM4"	"Low tissue specificity"	"Detected in all"	NA	"Group enriched"	"Detected in some"
"ADCY8"	"AC8, ADCY3, HBAC1"	"ENSG00000155897"	"Adenylate cyclase 8"	"P40145"	"Tissue enhanced"	"Detected in some"	NA	"Group enriched"	"Detected in some"
"ADD3"	"ADDL"	"ENSG00000148700"	"Adducin 3"	"Q9UEY8"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ADGB"	"C6orf103, CAPN16, dJ408K24.1, FLJ23121"	"ENSG00000118492"	"Androglobin"	"Q8N7X0"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enriched"	"Detected in single"
"ADH1B"	"ADH2"	"ENSG00000196616"	"Alcohol dehydrogenase 1B (class I), beta polypeptide"	"P00325"	"Group enriched"	"Detected in many"	5	"Cell line enriched"	"Detected in some"
"ADH6"	"ADH-5"	"ENSG00000172955"	"Alcohol dehydrogenase 6 (class V)"	"P28332"	"Tissue enriched"	"Detected in some"	5	"Cell line enriched"	"Detected in some"
"ADPGK"	"ADP-GK, DKFZp434B195"	"ENSG00000159322"	"ADP dependent glucokinase"	"Q9BRR6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ADRA2B"	"ADRA2L1, ADRA2RL1, ADRARL1"	"ENSG00000274286"	"Adrenoceptor alpha 2B"	"P18089"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADRA2C"	"ADRA2L2, ADRA2RL2, ADRARL2"	"ENSG00000184160"	"Adrenoceptor alpha 2C"	"P18825"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ADSL"	NA	"ENSG00000239900"	"Adenylosuccinate lyase"	"P30566"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AFAP1L2"	"Em:AC005383.4, FLJ14564, KIAA1914, XB130"	"ENSG00000169129"	"Actin filament associated protein 1 like 2"	"Q8N4X5"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"AFF2"	"FMR2, FRAXE"	"ENSG00000155966"	"AF4/FMR2 family member 2"	"P51816"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"AFF4"	"AF5Q31, MCEF"	"ENSG00000072364"	"AF4/FMR2 family member 4"	"Q9UHB7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AFM"	"ALB2, ALBA"	"ENSG00000079557"	"Afamin"	"P43652"	"Tissue enriched"	"Detected in some"	13	"Cell line enriched"	"Detected in some"
"AFP"	"FETA, HPAFP"	"ENSG00000081051"	"Alpha fetoprotein"	"P02771"	"Group enriched"	"Detected in some"	5	"Cell line enriched"	"Detected in some"
"AFTPH"	"FLJ20080, FLJ23793, MGC33965, Nbla10388"	"ENSG00000119844"	"Aftiphilin"	"Q6ULP2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AGAP1"	"CENTG2, GGAP1, KIAA1099"	"ENSG00000157985"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"	"Q9UPQ3"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"AGAP3"	"CENTG3"	"ENSG00000133612"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"	"Q96P47"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"AGBL4"	"CCP6, FLJ14442"	"ENSG00000186094"	"ATP/GTP binding protein like 4"	"Q5VU57"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"AGBL5"	"CCP5, FLJ21839"	"ENSG00000084693"	"ATP/GTP binding protein like 5"	"Q8NDL9"	"Tissue enriched"	"Detected in all"	8	"Low cell line specificity"	"Detected in all"
"AGO1"	"EIF2C1, hAGO1"	"ENSG00000092847"	"Argonaute 1, RISC catalytic component"	"Q9UL18"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AGO2"	"CASC7, EIF2C2, hAGO2, LINC00980, Q10"	"ENSG00000123908"	"Argonaute 2, RISC catalytic component"	"Q9UKV8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AGO3"	"EIF2C3, FLJ12765, hAGO3"	"ENSG00000126070"	"Argonaute 3, RISC catalytic component"	"Q9H9G7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AGPAT3"	"LPAAT-gamma"	"ENSG00000160216"	"1-acylglycerol-3-phosphate O-acyltransferase 3"	"Q9NRZ7"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"AGPAT4"	"dJ473J16.2, LPAAT-delta"	"ENSG00000026652"	"1-acylglycerol-3-phosphate O-acyltransferase 4"	"Q9NRZ5"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"AGPAT5"	"FLJ11210, LPAAT-e, LPAAT-epsilon"	"ENSG00000155189"	"1-acylglycerol-3-phosphate O-acyltransferase 5"	"Q9NUQ2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AGPS"	"ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY"	"ENSG00000018510"	"Alkylglycerone phosphate synthase"	"O00116"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"AGTPBP1"	"CCP1, KIAA1035, Nna1"	"ENSG00000135049"	"ATP/GTP binding protein 1"	"Q9UPW5"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AGTR2"	"AT2, MRX88"	"ENSG00000180772"	"Angiotensin II receptor type 2"	"P50052"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enriched"	"Detected in single"
"AHCY"	"SAHH"	"ENSG00000101444"	"Adenosylhomocysteinase"	"P23526"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AHCYL2"	"KIAA0828"	"ENSG00000158467"	"Adenosylhomocysteinase like 2"	"Q96HN2"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enriched"	"Detected in all"
"AHNAK"	"MGC5395"	"ENSG00000124942"	"AHNAK nucleoprotein"	"Q09666"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"AHNAK2"	"C14orf78"	"ENSG00000185567"	"AHNAK nucleoprotein 2"	"Q8IVF2"	"Tissue enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in many"
"AHR"	"bHLHe76"	"ENSG00000106546"	"Aryl hydrocarbon receptor"	"P35869"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"AIFM1"	"AIF, CMTX4, NAMSD, PDCD8"	"ENSG00000156709"	"Apoptosis inducing factor mitochondria associated 1"	"O95831"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AIFM2"	"AMID, FLJ14497, PRG3"	"ENSG00000042286"	"Apoptosis inducing factor, mitochondria associated 2"	"Q9BRQ8"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"AIPL1"	"LCA4"	"ENSG00000129221"	"Aryl hydrocarbon receptor interacting protein like 1"	"Q9NZN9"	"Tissue enriched"	"Detected in some"	37	"Cell line enhanced"	"Detected in some"
"AK5"	NA	"ENSG00000154027"	"Adenylate kinase 5"	"Q9Y6K8"	"Tissue enriched"	"Detected in many"	7	"Cell line enhanced"	"Detected in many"
"AKAP12"	"AKAP250, SSeCKS"	"ENSG00000131016"	"A-kinase anchoring protein 12"	"Q02952"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"AKAP13"	"AKAP-Lbc, ARHGEF13, BRX, c-lbc, HA-3, Ht31, LBC, PROTO-LB"	"ENSG00000170776"	"A-kinase anchoring protein 13"	"Q12802"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"AKAP6"	"ADAP6, AKAP100, KIAA0311, mAKAP, PRKA6"	"ENSG00000151320"	"A-kinase anchoring protein 6"	"Q13023"	"Group enriched"	"Detected in many"	6	"Cell line enhanced"	"Detected in many"
"AKAP8"	"AKAP95, DKFZp586B1222"	"ENSG00000105127"	"A-kinase anchoring protein 8"	"O43823"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AKAP9"	"AKAP350, AKAP450, CG-NAP, HYPERION, KIAA0803, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO"	"ENSG00000127914"	"A-kinase anchoring protein 9"	"Q99996"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AKR1B1"	"ALDR1, AR"	"ENSG00000085662"	"Aldo-keto reductase family 1 member B"	"P15121"	"Group enriched"	"Detected in all"	4	"Cell line enhanced"	"Detected in many"
"AKR7A2"	"AFAR"	"ENSG00000053371"	"Aldo-keto reductase family 7 member A2"	"O43488"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AKR7A3"	NA	"ENSG00000162482"	"Aldo-keto reductase family 7 member A3"	"O95154"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enriched"	"Detected in some"
"AKT1S1"	"Lobe, MGC2865, PRAS40"	"ENSG00000204673"	"AKT1 substrate 1"	"Q96B36"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ALAS1"	"ALAS, ALAS3"	"ENSG00000023330"	"5'-aminolevulinate synthase 1"	"P13196"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ALCAM"	"CD166, MEMD"	"ENSG00000170017"	"Activated leukocyte cell adhesion molecule"	"Q13740"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ALDH18A1"	"GSAS, P5CS, PYCS, SPG9"	"ENSG00000059573"	"Aldehyde dehydrogenase 18 family member A1"	"P54886"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ALDH1A2"	"RALDH2"	"ENSG00000128918"	"Aldehyde dehydrogenase 1 family member A2"	"O94788"	"Low tissue specificity"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"ALDH1B1"	"ALDH5, ALDHX"	"ENSG00000137124"	"Aldehyde dehydrogenase 1 family member B1"	"P30837"	"Tissue enhanced"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"ALDH3A2"	"ALDH10, FALDH, SLS"	"ENSG00000072210"	"Aldehyde dehydrogenase 3 family member A2"	"P51648"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ALDOB"	NA	"ENSG00000136872"	"Aldolase, fructose-bisphosphate B"	"P05062"	"Group enriched"	"Detected in some"	30	"Cell line enhanced"	"Detected in some"
"ALG13"	"CDG1S, CXorf45, FLJ23018, GLT28D1, MDS031, TDRD13, YGL047W"	"ENSG00000101901"	"ALG13, UDP-N-acetylglucosaminyltransferase subunit"	"Q9NP73"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ALG6"	NA	"ENSG00000088035"	"ALG6, alpha-1,3-glucosyltransferase"	"Q9Y672"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
