UniprotID		Genename	subcellular location
Q8IXT5	Q8IXT5	RBM12B	Endoplasmic reticulum
P39656	P39656	DDOST	Endoplasmic reticulum
P23284	P23284	PPIB	Endoplasmic reticulum
O94905	O94905	ERLIN2	Endoplasmic reticulum
O75477	O75477	ERLIN1	Endoplasmic reticulum
O15260	O15260	SURF4	Endoplasmic reticulum
Q86XL3	Q86XL3	ANKLE2	Endoplasmic reticulum
P19784	P19784	CSNK2A2	Nucleus
O75165	O75165	DNAJC13	Endosome
Q9UGV2	Q9UGV2	NDRG3	Extracellular or secreted
P35030	P35030	PRSS3	Extracellular or secreted
P11142	P11142	HSPA8	Nucleus
P21741	P21741	MDK	Extracellular or secreted
P0CG06	P0CG06	IGLC3; IGLC2	extracellular or secreted
Q96HS1	Q96HS1	PGAM5	mitochondria
Q8TCC3	Q8TCC3	MRPL30	Mitochondria
P08708	P08708	RPS17	Nucleus
P08670	P08670	VIM	Nucleus
Q15785	Q15785	TOMM34	Mitochondria
P08238	P08238	HSP90AB1	Nucleus
P07900	P07900	HSP90AA1	Nucleus
P61604	P61604	HSPE1	Mitochondria
P53701	P53701	HCCS	Mitochondria
P06748	P06748	NPM1	Nucleus
P06493	P06493	CDK1	nucleus
P53007	P53007	SLC25A1	Mitochondria
P48047	P48047	ATP5PO	mitochondria
P40926	P40926	MDH2	Mitochondria
O75533	O75533	SF3B1	Nucleus
P25705	P25705	ATP5F1A	Mitochondria
P07203	P07203	GPX1	Mitochondria
Q96RD6	Q96RD6	PANX2	plasma membrane
O75071	O75071	EFCAB14	Nucleus
O60884	O60884	DNAJA2	Nucleus
O60315	O60315	ZEB2	Nucleus
P27448	P27448	MARK3	Plasma membrane
P05026	P05026	ATP1B1	Plasma membrane
O15144	O15144	ARPC2	Nucleus
P52952	P52952	NKX25	Nucleus
A7E2V4	A7E2V4	ZSWIM8	Nucleus
A6NHQ2	A6NHQ2	FBLL1	Nucleus
A4D1P6	A4D1P6	WDR91	Nucleus
P19474	P19474	TRIM21	Nucleus
Q9Y5L4	Q9Y5L4	TIMM13	Nucleus
P04264	P04264	KRT1	Plasma membrane
P52952	P52952	NKX25	Nucleus
P14866	P14866	HNRNPL	nucleus
Q9BXS6	Q9BXS6	NUSAP1	Nucleus
Q86WJ1	Q86WJ1	CHD1L	Nucleus
